Success Rate,Ecological Navigation Score,Navigation Score,Infraction Count (/m),Energy Consumption (J/m),FPS (/s),Route Completion (%),Avg. Route Deviation (m),Distance covered (km),Time taken (s),Number of steps taken by local model,Number of steps taken by global model
1,43.89844389844452,100.0,0.0,1.7065881120651487,31.427153822872786,100.0,0.19037495500778903,0.05200880247124823,58.48599314689636,268,287
1,49.86919555264928,100.0,0.0,1.4777180744823706,36.81384955881079,100.0,0.15328509069876287,0.05200880247124823,56.68874478340149,305,251
1,43.667443667444225,100.0,0.0,1.6530090907019472,30.77083629387803,100.0,0.31218539916776933,0.05200880247124823,61.63601207733154,281,304
0,0.0,0.0,0.015689321260418367,1.8156467028618923,22.867789703171336,0.0,3.107950123892245,0.0,79.61329436302185,339,390
1,36.03965956579739,99.17535749410503,0.01194640207271357,1.8772576217061852,20.526438651511892,100.0,0.2842658026582673,0.05200880247124823,81.80482935905457,299,449
1,36.952496003104855,99.42907195221142,0.008260353471976869,1.6717303356586533,15.923502805240252,100.0,0.3048009729645867,0.05200880247124823,107.60430026054382,399,577
1,44.701795020267184,100.0,0.0,1.5962676124731763,22.915645445404806,100.0,0.25275395721037713,0.05200880247124823,84.40039610862732,386,399
1,44.629548389372374,99.39309937722452,0.008782402454350089,1.806430404829106,19.671145526665626,100.0,0.19660710032506645,0.05200880247124823,97.45640397071838,447,458
1,50.60417020606336,99.85066755293805,0.002156022029392176,1.4194171030503153,24.709161145452903,100.0,0.22217702932325592,0.05200880247124823,85.97875213623047,451,358
1,48.34785462348886,99.66916083883241,0.004780913105892492,1.5719642292174285,23.514978807108843,100.0,0.26331974551169895,0.05200880247124823,81.95834255218506,413,361
0,0.0,0.0,0.013439931893570954,1.3708730531442264,39.43932808800964,0.0,3.4434395181584225,0.0,52.239098072052,267,223
1,47.13804713804777,100.0,0.0,1.5154940223696725,25.974270256737462,100.0,0.3321135109519944,0.05200880247124823,76.28366541862488,364,338
1,43.92386530014713,100.0,0.0,1.6167618494362928,25.453471081948667,100.0,0.3343128642759311,0.05200880247124823,73.61056089401245,330,353
1,47.66233766233835,100.0,0.0,1.4813392206048734,26.610072054486942,100.0,0.2551989405248876,0.05200880247124823,74.6021192073822,367,333
1,48.359300294756736,99.04551252838078,0.013836482717673466,1.7330194603885727,20.856474217643736,100.0,0.331901967880425,0.05200880247124823,95.73483490943909,478,412
0,0.0,0.0,0.0037639932516513657,1.5052209013353715,42.50440660200515,0.0,4.2230193163476635,0.0,53.62321138381958,290,216
1,50.80366492708547,98.33628686675874,0.02420421420564405,1.4893970118311244,20.792228989965636,100.0,0.23338368836857673,0.05200880247124823,107.57567191123962,570,433
0,0.0,0.0,0.010943167069349611,1.329047640572503,46.27329748803915,0.0,3.5405200717785847,0.0,55.3830783367157,339,190
1,57.08286113098548,99.18831896714116,0.011757865005524304,1.3555642564868755,30.02954791642152,100.0,0.26050422982382904,0.05200880247124823,86.12618851661682,521,302
0,0.0,0.0,0.007522171441168109,1.2152067963207027,48.32859340529172,0.0,3.9123630281446538,0.0,45.91888928413391,262,172
1,56.99048852736921,99.82103259755277,0.002584267028087574,1.1361729988986893,38.290588940848124,100.0,0.2129691241989868,0.05200880247124823,65.85671138763428,390,231
1,55.73969442707141,99.87174114871023,0.001851571743370796,1.0665053241815619,29.900916469506296,100.0,0.2915202450873424,0.05200880247124823,83.53687787055969,485,305
1,56.50444087207789,99.3953645551437,0.00874952367571029,1.1805294819451966,32.9510800422667,100.0,0.24276784157115494,0.05200880247124823,79.95161652565002,474,284
1,60.821612336610734,99.80208303272161,0.002858167605230004,1.1622738566667696,40.356778388896174,100.0,0.32852985951875807,0.05200880247124823,66.26958274841309,423,208
1,58.10637966628003,99.76158831996428,0.0034436601618968395,1.0201843229619234,26.86211824980545,100.0,0.32415280041174205,0.05200880247124823,90.60261154174805,551,309
1,60.70723933829139,100.0,0.0,1.171114056174329,44.812522700962475,100.0,0.17690691168258943,0.05200880247124823,63.20887875556946,400,199
1,64.71752702908498,100.0,0.0,1.0389900491251496,49.95046656257253,100.0,0.23269967732298724,0.05200880247124823,61.16181945800781,425,172
1,64.95809155383635,100.0,0.0,1.030663064937523,50.47588777152718,100.0,0.2714570543701232,0.05200880247124823,58.1267626285553,403,161
1,64.4079168064409,100.0,0.0,1.0007583864093044,53.07568312908201,100.0,0.22004432042533317,0.05200880247124823,56.094356536865234,384,158
1,61.51622229360763,100.0,0.0,1.118579185484231,46.826490135677275,100.0,0.19204406311380937,0.05200880247124823,59.87801384925842,383,183
1,62.518387761106496,100.0,0.0,1.153918469920716,44.869576663921784,100.0,0.22946437166792777,0.05200880247124823,64.03921723365784,425,193
1,58.339920948616886,100.0,0.0,1.2312330533255227,41.930183935750165,100.0,0.20136914298688902,0.05200880247124823,60.25765800476074,369,206
1,57.57575757575781,100.0,0.0,1.2197750612297535,42.17993612328037,100.0,0.3679630950958968,0.05200880247124823,55.990431785583496,342,198
1,60.367077717235794,100.0,0.0,1.1976230082864496,39.96834526409386,100.0,0.27691668848910883,0.05200880247124823,66.05696392059326,421,213
1,63.69820655534962,100.0,0.0,1.0391728724442881,51.0508938479248,100.0,0.172387618252339,0.05200880247124823,60.08643937110901,412,176
1,64.88917442981061,100.0,0.0,1.0163097287863185,47.61486739975407,100.0,0.19645626375465017,0.05200880247124823,57.692201137542725,404,162
1,66.21773288439958,100.0,0.0,0.9808944882915912,51.22911101376023,100.0,0.23225736676927214,0.05200880247124823,58.5203378200531,413,154
1,60.40570999248713,100.0,0.0,1.160720885414194,40.64928063448446,100.0,0.3581375394723669,0.05200880247124823,63.09109401702881,402,203
1,63.07320997586492,100.0,0.0,1.0443287741782208,46.36265287320493,100.0,0.27866365552193256,0.05200880247124823,58.251123666763306,392,173
1,67.07216833799103,100.0,0.0,0.9412776081451962,61.10574661494181,100.0,0.3088895423387342,0.05200880247124823,55.57150053977966,408,145
1,61.03896103896111,100.0,0.0,1.1233747907104026,47.21048652869679,100.0,0.3663978846708301,0.05200880247124823,58.6211199760437,376,184
1,62.121212121212224,100.0,0.0,1.0888157638414557,46.87647245706746,100.0,0.28133296954106435,0.05200880247124823,61.74020028114319,410,190
1,60.86286594761182,100.0,0.0,1.124500363185142,42.67293573670215,100.0,0.34042749472257566,0.05200880247124823,60.72133660316467,395,195
1,65.02416965538754,100.0,0.0,1.030938153683873,54.360676880645215,100.0,0.32813953844375854,0.05200880247124823,60.59608864784241,417,166
1,64.45993031358881,100.0,0.0,0.9892870137819205,49.51062832001402,100.0,0.35856633826876155,0.05200880247124823,58.981414794921875,407,167
1,69.45516283377054,100.0,0.0,0.886448964307866,56.90079402488602,100.0,0.30051607999136215,0.05200880247124823,60.21608757972717,450,139
1,69.89332908772475,100.0,0.0,0.8807703803758531,62.19474302919559,100.0,0.3143267699845561,0.05200880247124823,58.008087158203125,439,132
1,71.2310944869082,100.0,0.0,0.8353923736028342,62.58413019643175,100.0,0.27424004475537395,0.05200880247124823,57.48456692695618,438,121
1,74.11593734861917,100.0,0.0,0.7238150195532334,70.72222267469043,100.0,0.31776529371649004,0.05200880247124823,56.32350492477417,459,104
1,75.56508826926225,100.0,0.0,0.7013617716471164,83.06039872423015,100.0,0.253638213241154,0.05200880247124823,55.109135389328,458,93
1,70.70707070707054,100.0,0.0,0.8625462414359277,58.89294052014816,100.0,0.18219199209650605,0.05200880247124823,58.507094860076904,441,126
1,78.27371184771886,100.0,0.0,0.6293736260023864,97.042519703443,100.0,0.32212436447082937,0.05200880247124823,54.746124267578125,477,77
